"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"NEU_SRR1974640",1.55710273749752,-0.745886370469171,-2.30258509299405,-2.08832634098746,1,0.19981959528162,-0.824104569064711,2.69039820431836,9.27397324401609,-0.264175136756478,6.98437881265864,0.122845172061153
"NEU_SRR1974642",1.76046705519962,-0.992042613798739,-2.30258509299405,-2.04470650167577,1,0.185774094521999,-4.54886105194785,2.90323754740729,5.56234191984234,-0.230607306396794,0.430188803658739,0.147026795889813
"NEU_SRR1974643",1.28397268608765,-0.166559946386222,-2.30258509299405,-1.53698631282744,1,0.310314871556718,-12.9310103955948,6.03878586240674,7.21576492564888,-0.0717690894066089,0.658663905972036,0.0937225272709972
"NEU_SRR1974645",2.20525842202698,-0.24209072848522,-2.30258509299405,-2.06352593186455,1,0.244560358116552,-26.2872861568346,7.56982271803213,18.9816417547956,-0.0489961358991958,1.17874154485137,0.0660813322815334
"NEU_SRR1974646",-1.98257450253421,-0.0817678087291712,-2.30258509299405,-0.651617184676215,1,0.168531581724071,-0.139575169758542,2.39357806581087,7.64097423003642,-0.495521146644676,20,0.0682075172536925
"NEU_SRR1974648",-0.338600869669159,-0.938108730896637,-2.30258509299405,-2.93537444131478,1,0.325604241683369,-3.00600388178292,4.85321099103453,3.6737219031965,-0.242353703728877,0.614574695000325,0.772692575675779
"NEU_SRR1974649",1.3575867688005,-0.573587795690744,-2.30258509299405,-1.42846148532362,1,0.245500277230635,-4.68713211187606,3.35818070398206,7.44402643806766,-0.157282265706711,1.16273192186578,0.14633799581999
"NEU_SRR1974650",2.05326254123483,-0.963199564642344,-2.30258509299405,-1.89359051368908,1,0.189951682344075,-5.8360595930895,3.5798886678121,12.5590033248335,-0.121902171133354,2.57900387040766,0.138866216788256
"NEU_SRR1974652",-0.986859915362571,-0.0517489448563803,-2.30258509299405,-1.47072901898858,1,0.151854075394101,-0.774380620537104,2.55331569995058,10.118861651608,-0.332868197848506,20,0.0649161920944618
"NEU_SRR1974654",-0.654677049624059,0.0790850716328406,-2.30258509299405,-1.13842823125488,1,0.24889291230601,-3.46539827766547,2.79942433434124,4.93473060518959,-0.235353351746507,0.602897474545803,0.0669534121521038
"NEU_SRR1974655",3.38318125357462,-1.43200717108544,-2.30258509299405,-2.13227409434233,1,0.188192418547948,-3.60925337255767,2.88025491671138,8.27120484120372,-0.21794072346979,1.48745407274767,0.203602744866975
"NEU_SRR1974656",3.17677462835587,-1.28422764308662,-2.30258509299405,-2.09105760147547,1,0.21225811589949,-4.54873855114791,3.01851622981641,5.51840172425455,-0.204955887879659,0.45945641956606,0.199162054023394
"NEU_SRR1974657",1.31544805034777,-0.81777114015072,-2.30258509299405,-1.79667813168021,1,0.183976360357822,-3.88359622010279,2.75789628801506,8.67345992044793,-0.219137315583077,1.681129324857,0.154164687192042
"NEU_SRR1974658",-0.414269162276085,-0.272083864890299,-2.30258509299405,-1.34388561791126,1,0.213986842724836,-3.88045925596172,2.72714040036066,5.69850759476059,-0.236436357318966,0.572638279814235,0.124780648411938
"NEU_SRR1974659",0.297795040389427,-0.445297847851172,-2.30258509299405,-1.40137312616801,1,0.217658103325243,-0.654390392728452,2.67553431737542,10.4833287862212,-0.257985590056323,20,0.154812498705613
"NEU_SRR1974660",2.60330923559129,-1.37131018177681,-2.30258509299405,-2.03029620835324,1,0.219212172868908,-4.48999137196375,2.85461559214261,5.73510473907295,-0.241827342154221,0.4918176088991,0.225877365569264
"NEU_SRR1974661",2.14248359149835,-1.05419353321708,-2.30258509299405,-2.12669919288519,1,0.206767969552925,-2.85679316183365,2.90952089277429,6.02784075608231,-0.242491092940503,0.757209903234452,0.144385438928485
"NEU_SRR1974662",0.816926459017267,-0.486323289117701,-2.30258509299405,-1.68987922096011,1,0.258518654879334,-3.60240432097835,3.07664403624292,4.69859736220177,-0.225641404147333,0.551908599349723,0.1366006158037
"NEU_SRR1974663",-0.772204547967451,-0.230559973517463,-2.30258509299405,-1.45081833486307,1,0.136701369212853,-2.6725031454903,2.6721379624782,12.8287312720987,-0.244380630245947,20,0.0911094698206949
"NEU_SRR1974673",-1.61628244095287,-0.114871894017859,-2.30258509299405,-1.5532636857726,1,0.109669902317963,-1.16558960118935,2.66707124332077,7.41290087236063,-0.309994903441297,1.9207963067602,0.0562912759501714
"NEU_SRR1974674",0.33313358960084,-0.556500948423489,-2.30258509299405,-1.36680320498248,1,0.237944175803031,-2.99169874093861,2.93211909347441,4.86221007262286,-0.234550732919684,0.612586307899442,0.156270341782948
"NEU_SRR1974677",0.690738236826374,-0.748074232863922,-2.30258509299405,-1.59215515743184,1,0.230653248538281,-2.74217314737318,3.87076731020116,10.9088714658633,-0.127935884784546,3.63647133727472,0.178423636255551
"NEU_SRR1974681",0.63229661673258,-0.629970379002113,-2.30258509299405,-1.30833004694441,1,0.235516944371849,-0.384055044832851,2.66533827423766,8.83999073206181,-0.325731295674284,20,0.158341874638681
